Complexity,Loss,Equation
1,0.709493885024179,"0.09460756224254746"
2,0.27362769837290757,"sin(x1)"
4,0.2715474948955128,"sin(x1 * 1.0354503825147974)"
6,0.2700141022918855,"sin(x1) + (x1 * -0.03458802584662954)"
8,0.26882742720668845,"((x1 * 0.043894988650453194) + 0.9296009125595255) * sin(x1)"
9,0.2651194560800073,"sin((x1 * 1.428376331747969) + sin(x1 * -0.6208147833152937))"
11,0.26310265941154004,"sin(x1 * ((sin(2.0207840504005197 - x1) * -0.15903444396978023) + 0.9331669699315006))"
13,0.2605997178273195,"sin(((sin((x1 * 1.1569823974923994) + 0.6880388610914671) * -0.20473975547856627) + 0.9339107854185456) * x1)"
15,0.2585333822883844,"sin(((sin((x1 + 0.5868262953136962) * 1.2122854253670916) * -0.23397391190852765) + 0.911299474219965) * x1) + 0.05783706098063452"
17,0.24946620131777475,"sin(x1 + (sin(x1 - ((x1 + x1) * ((x1 + 0.6869299059265586) * -3.392332180755642))) * -0.3187504763370769))"
18,0.24872769496074604,"sin(sin(sin(x1 - ((x1 + x1) * ((x1 + 0.7671808912281316) * -2.962661585345375))) * -0.32547417785470306) + x1)"
19,0.23638919895072724,"sin(x1 + (sin(((x1 + x1) * ((x1 - -3.3074339364615613) * (x1 + 0.7935340091023133))) * 1.4060163530656864) * -0.42094355390455757))"
21,0.23402938408256524,"sin((sin(((((x1 + 0.7943630871100266) * (x1 - -3.307726192263849)) * 1.4056367649509016) * (x1 + x1)) + -0.22184656935812067) * -0.4215146844307343) + x1)"
23,0.23381560509204674,"sin(((sin((((x1 - -3.307003431104651) * ((x1 + x1) * (x1 + 0.7923414165133684))) + -0.14196097990589462) * 1.406467985296019) * -0.411246185662471) + x1) * 1.0116335762374138)"
24,0.23135394582891353,"sin((x1 + (sin(sin((x1 - -3.28466335058535) * ((x1 + 0.7794854986577936) * ((x1 + x1) * 1.415446893915336))) + -0.7196107829508187) * -0.6358850661511088)) + -0.3469805064055992)"
26,0.22931419953677304,"sin((x1 + -0.25119584996848754) + (sin(sin((((x1 - -3.3207239624762495) * ((x1 + x1) * (x1 + 0.7917487354604976))) * 1.4047458154243144) + -0.3046815362993257) + -0.5020112210836496) * -0.5958174070128279))"
